epsilon_31, chisquare (fit), degrees of freedom, chisquare (fit reduced), chisquare (sensitivity), chisquare (sensitivity reduced), -2log(l)
1.47,26.7157,23,1.16155,182.339,7.92779,inf
1.48,26.9631,23,1.17231,184.024,8.00105,inf
1.49,27.2106,23,1.18307,185.709,8.07432,inf
1.5,27.4581,23,1.19383,187.395,8.14761,inf
1.51,27.7057,23,1.20459,189.081,8.2209,inf
1.52,27.9533,23,1.21536,190.767,8.29421,inf
1.53,28.2009,23,1.22613,192.453,8.36752,inf
1.54,28.4486,23,1.2369,194.139,8.44084,inf
1.55,28.6963,23,1.24766,195.826,8.51416,inf
1.56,28.944,23,1.25843,197.512,8.58747,inf
1.57,29.1917,23,1.2692,199.198,8.66079,inf
1.58,29.4394,23,1.27997,200.884,8.73411,inf
1.59,29.6871,23,1.29074,202.571,8.80741,inf
1.6,29.9347,23,1.30151,204.256,8.88071,inf
1.61,30.1824,23,1.31228,205.942,8.95401,inf
1.62,30.43,23,1.32304,207.628,9.02729,inf
1.63,30.6776,23,1.33381,209.313,9.10055,inf
1.64,30.9251,23,1.34457,210.997,9.1738,inf
1.65,31.1726,23,1.35533,212.682,9.24704,inf
1.66,31.42,23,1.36609,214.366,9.32025,inf
1.67,31.6674,23,1.37684,216.049,9.39345,inf
1.68,31.9147,23,1.3876,217.732,9.46662,inf
1.69,32.162,23,1.39835,219.415,9.53977,inf
1.7,32.4091,23,1.40909,221.097,9.6129,inf
1.71,32.6562,23,1.41983,222.778,9.686,inf
1.72,32.9032,23,1.43057,224.459,9.75907,inf
1.73,33.1501,23,1.44131,226.138,9.83211,inf
1.74,33.3969,23,1.45204,227.818,9.90512,inf
1.75,33.6436,23,1.46276,229.496,9.97809,inf
1.76,33.8902,23,1.47349,231.174,10.051,inf
1.77,34.1367,23,1.4842,232.851,10.1239,inf
1.78,34.383,23,1.49491,234.527,10.1968,inf
1.79,34.6293,23,1.50562,236.202,10.2696,inf
1.8,34.8754,23,1.51632,237.876,10.3424,inf
1.81,35.1213,23,1.52702,239.549,10.4152,inf
1.82,35.3672,23,1.5377,241.221,10.4879,inf
1.83,35.6129,23,1.54839,242.893,10.5605,inf
1.84,35.8585,23,1.55906,244.563,10.6332,inf
1.85,36.1039,23,1.56973,246.232,10.7057,inf
1.86,36.3491,23,1.5804,247.9,10.7783,inf
1.87,36.5942,23,1.59105,249.567,10.8507,inf
1.88,36.8392,23,1.6017,251.233,10.9232,inf
1.89,37.0839,23,1.61235,252.897,10.9955,inf
1.9,37.3286,23,1.62298,254.561,11.0678,inf
1.91,37.573,23,1.63361,256.223,11.1401,inf
1.92,37.8172,23,1.64423,257.884,11.2123,inf
1.93,38.0613,23,1.65484,259.543,11.2845,inf
1.94,38.3052,23,1.66544,261.202,11.3566,inf
1.95,38.5489,23,1.67604,262.859,11.4286,inf
1.96,38.7924,23,1.68663,264.514,11.5006,inf
1.97,39.0358,23,1.69721,266.168,11.5725,inf
1.98,39.2789,23,1.70778,267.821,11.6444,inf
1.99,39.5218,23,1.71834,269.473,11.7162,inf
