epsilon_31, chisquare (fit), degrees of freedom, chisquare (fit reduced), chisquare (sensitivity), chisquare (sensitivity reduced), -2log(l)
1.51,600.046,28,21.4302,16536.2,590.578,878.826
1.52,605.552,28,21.6269,16687.8,595.993,884.077
1.53,611.06,28,21.8236,16839.5,601.41,889.328
1.54,616.571,28,22.0204,16991.2,606.83,894.582
1.55,622.084,28,22.2173,17143.1,612.252,899.836
1.56,627.6,28,22.4143,17294.9,617.677,905.092
1.57,633.117,28,22.6113,17446.9,623.103,910.348
1.58,638.636,28,22.8084,17598.9,628.53,915.606
1.59,644.157,28,23.0056,17750.9,633.96,920.864
1.6,649.679,28,23.2028,17902.9,639.391,926.122
1.61,655.203,28,23.4001,18055,644.823,931.381
1.62,660.728,28,23.5974,18207.2,650.256,936.641
1.63,666.254,28,23.7948,18359.3,655.69,941.9
1.64,671.78,28,23.9922,18511.5,661.125,947.159
1.65,677.308,28,24.1896,18663.7,666.561,952.418
1.66,682.837,28,24.387,18815.9,671.997,957.677
1.67,688.365,28,24.5845,18968.2,677.434,962.936
1.68,693.895,28,24.782,19120.4,682.871,968.194
1.69,699.424,28,24.9794,19272.6,688.308,973.451
1.7,704.954,28,25.1769,19424.9,693.746,978.707
1.71,710.483,28,25.3744,19577.1,699.183,983.963
1.72,716.013,28,25.5719,19729.4,704.62,989.218
1.73,721.542,28,25.7694,19881.6,710.057,994.471
1.74,727.071,28,25.9668,20033.8,715.493,999.723
1.75,732.599,28,26.1643,20186,720.929,1004.97
1.76,738.127,28,26.3617,20338.2,726.364,1010.22
1.77,743.654,28,26.5591,20490.3,731.798,1015.47
1.78,749.18,28,26.7564,20642.5,737.231,1020.72
1.79,754.705,28,26.9537,20794.6,742.663,1025.96
1.8,760.229,28,27.151,20946.6,748.094,1031.21
1.81,765.752,28,27.3483,21098.7,753.524,1036.45
1.82,771.273,28,27.5455,21250.7,758.953,1041.68
1.83,776.793,28,27.7426,21402.6,764.38,1046.92
1.84,782.312,28,27.9397,21554.5,769.805,1052.16
1.85,787.829,28,28.1367,21706.4,775.229,1057.39
1.86,793.344,28,28.3337,21858.2,780.651,1062.62
1.87,798.858,28,28.5306,22010,786.071,1067.84
1.88,804.369,28,28.7275,22161.7,791.49,1073.07
1.89,809.879,28,28.9242,22313.4,796.906,1078.29
1.9,815.386,28,29.1209,22465,802.32,1083.51
1.91,820.891,28,29.3175,22616.5,807.732,1088.72
1.92,826.394,28,29.5141,22768,813.141,1093.94
1.93,831.895,28,29.7105,22919.4,818.548,1099.15
1.94,837.393,28,29.9069,23070.7,823.953,1104.35
1.95,842.888,28,30.1032,23221.9,829.355,1109.56
1.96,848.381,28,30.2993,23373.1,834.754,1114.76
1.97,853.871,28,30.4954,23524.2,840.151,1119.96
1.98,859.358,28,30.6914,23675.2,845.545,1125.15
1.99,864.843,28,30.8872,23826.2,850.935,1130.34
